,file_name,na_rate,label
0,"Delhi_Delhi_NSIT Dwarka, Delhi - CPCB.csv",0.002063679245283019,1
1,"Delhi_Delhi_IHBAS, Dilshad Garden, Delhi - CPCB.csv",0.00294811320754717,1
2,"Delhi_Delhi_Shadipur, Delhi - CPCB.csv",0.0030955188679245285,9
3,"Delhi_Delhi_Mandir Marg, Delhi - DPCC.csv",0.009876179245283018,11
4,"Delhi_Delhi_Punjabi Bagh, Delhi - DPCC.csv",0.012529481132075472,8
5,"Delhi_Delhi_R K Puram, Delhi - DPCC.csv",0.012971698113207548,18
6,"Delhi_Delhi_Okhla Phase-2, Delhi - DPCC.csv",0.019899764150943397,18
7,"Delhi_Delhi_Nehru Nagar, Delhi - DPCC.csv",0.02034198113207547,8
8,"Delhi_Delhi_Jahangirpuri, Delhi - DPCC.csv",0.02137382075471698,10
9,"Delhi_Delhi_Major Dhyan Chand National Stadium, Delhi - DPCC.csv",0.02152122641509434,1
10,"Delhi_Delhi_Ashok Vihar, Delhi - DPCC.csv",0.023879716981132077,8
11,"Delhi_Delhi_Wazirpur, Delhi - DPCC.csv",0.025795990566037735,8
12,"Delhi_Delhi_Jawaharlal Nehru Stadium, Delhi - DPCC.csv",0.025943396226415096,11
13,"Delhi_Delhi_Vivek Vihar, Delhi - DPCC.csv",0.02830188679245283,6
14,"Delhi_Delhi_Patparganj, Delhi - DPCC.csv",0.0294811320754717,18
15,"Delhi_Delhi_Rohini, Delhi - DPCC.csv",0.03125,2
16,"Delhi_Delhi_Narela, Delhi - DPCC.csv",0.03139740566037736,6
17,"Delhi_Delhi_Sonia Vihar, Delhi - DPCC.csv",0.032134433962264154,6
18,"Delhi_Delhi_Najafgarh, Delhi - DPCC.csv",0.03257665094339623,15
19,"Punjab_Jalandhar_Civil Line, Jalandhar - PPCB.csv",0.03920990566037736,4
20,"Punjab_Ludhiana_Punjab Agricultural University, Ludhiana - PPCB.csv",0.046700058927519154,14
21,"Delhi_Delhi_Anand Vihar, Delhi - DPCC.csv",0.057193396226415096,10
22,"Delhi_Delhi_Sirifort, Delhi - CPCB.csv",0.08859080188679246,1
23,"Delhi_Delhi_Sri Aurobindo Marg, Delhi - DPCC.csv",0.10893278301886793,7
24,"Karnataka_Bengaluru_Peenya, Bengaluru - CPCB.csv",0.10901591043017089,13
25,"Delhi_Delhi_Bawana, Delhi - DPCC.csv",0.11512382075471699,2
26,"Delhi_Delhi_Mundka, Delhi - DPCC.csv",0.11659787735849056,2
27,"Delhi_Delhi_Pusa, Delhi - DPCC.csv",0.13295990566037735,11
28,"Karnataka_Bengaluru_BWSSB Kadabesanahalli, Bengaluru - CPCB.csv",0.13376546847377727,13
29,"Maharashtra_Solapur_Solapur, Solapur - MPCB.csv",0.1481426886792453,13
30,"Karnataka_Bengaluru_Hombegowda Nagar, Bengaluru - KSPCB.csv",0.14923394225103123,0
31,"Karnataka_Bengaluru_Hebbal, Bengaluru - KSPCB.csv",0.1551266941661756,0
32,"Karnataka_Bengaluru_Bapuji Nagar, Bengaluru - KSPCB.csv",0.1582203889216264,13
33,"Karnataka_Bengaluru_Silk Board, Bengaluru - KSPCB.csv",0.16072480848556275,13
34,"Karnataka_Bengaluru_Jayanagar 5th Block, Bengaluru - KSPCB.csv",0.18400117855038303,13
35,"Delhi_Delhi_Alipur, Delhi - DPCC.csv",0.1963443396226415,18
36,"Rajasthan_Jaipur_Adarsh Nagar, Jaipur - RSPCB.csv",0.25014749262536873,17
37,"Rajasthan_Kota_Shrinath Puram, Kota - RSPCB.csv",0.25545722713864305,14
38,"Telangana_Hyderabad_ICRISAT Patancheru, Hyderabad - TSPCB.csv",0.25545722713864305,13
39,"Delhi_Delhi_CRRI Mathura Road, Delhi - IMD.csv",0.25648584905660377,18
