date,Agartala,Agra,Aizwal,Amritsar,Asansol,Aurangabad,Bareilly,Belgaum,Bengaluru,Bhopal,Chandigarh,Chennai,Coimbatore,Dehradun,DurgBhilai,Faridabad,Gandhinagar,Gangtok,Ghaziabad,Gorakhpur,Gwalior,Hyderabad,Imphal,Indore,Jabalpur,Jaipur,Jalandhar,Jodhpur,Kanpur,Kochi,Kohima,Kolkata,Kota,Kozhikode,Lucknow,Ludhiana,Mangaluru,Meerut,Moradabad,Mumbai,Mysuru,Nashik,NewDelhi,Patna,Pondicherry,Prayagraj,Pune,Shillong,Solapur,Srinagar,Thiruvananthapuram,Varanasi,Vijaywada,Visakhapatnam
2018-01-01,4487402000000000.0,4203856000000000.0,3353202000000000.0,5727926000000000.0,8450960000000000.0,6800460000000000.0,4374686000000000.0,2412910000000000.0,5998410000000000.0,4912210000000000.0,5841812000000000.0,4301928000000000.0,3814230000000000.0,3875384000000000.0,7434452000000000.0,6409192000000000.0,7686370000000000.0,5734460000000000.0,6539928000000000.0,4444454000000000.0,4234538000000000.0,5227172000000000.0,3173905200000000.0,5409330000000000.0,4213560000000000.0,4865774000000000.0,5741338000000000.0,3963050000000000.0,4770556000000000.0,4807360000000000.0,2443642800000000.0,6056586000000000.0,4579256000000000.0,2477680000000000.0,5150494000000000.0,5425106000000000.0,3922960000000000.0,4032712000000000.0,3992366000000000.0,8526870000000000.0,2675710000000000.0,7171240000000000.0,6139060000000000.0,4521294000000000.0,4257316000000000.0,5586082000000000.0,8926880000000000.0,3244990000000000.0,4951730000000000.0,4338148000000000.0,2830850000000000.0,6321654000000000.0,4602784000000000.0,4272156000000000.0
2018-01-02,4272706000000000.0,5555496000000000.0,4556874000000000.0,8754210000000000.0,7671510000000000.0,4538862000000000.0,5036210000000000.0,3354014000000000.0,4563472000000000.0,4601160000000000.0,4829580000000000.0,4776370000000000.0,2679256000000000.0,4225410000000000.0,6012928400000000.0,7623280000000000.0,5266824000000000.0,4043080000000000.0,7138822000000000.0,4956190000000000.0,4323500000000000.0,4646110000000000.0,3917632000000000.0,5319612000000000.0,5614850000000000.0,6711860000000000.0,5608050000000000.0,4523712000000000.0,5415054000000000.0,3264356000000000.0,3544258000000000.0,9587080000000000.0,5204830000000000.0,2719302000000000.0,5061870000000000.0,7548858000000000.0,3095970000000000.0,6951190000000000.0,5098520000000000.0,3952934000000000.0,3411400000000000.0,4391748000000000.0,7255300000000000.0,4377550000000000.0,4267390000000000.0,4601682000000000.0,3723850000000000.0,3507740180000000.0,3550534000000000.0,3414960000000000.0,2922658000000000.0,5238046000000000.0,5100920000000000.0,4159610000000000.0
2018-01-03,6137040000000000.0,5831380000000000.0,2176214600000000.0,7368508000000000.0,8670280000000000.0,4804930000000000.0,5887992000000000.0,2843050000000000.0,5340140000000000.0,2900150000000000.0,8573120000000000.0,9804840000000000.0,4165050000000000.0,4517986000000000.0,6803482000000000.0,2.41e+16,5865830000000000.0,2666390000000000.0,2.34e+16,4603506000000000.0,4565450000000000.0,7990610000000000.0,3134100000000000.0,3950820000000000.0,4142170000000000.0,8365230000000000.0,7430250000000000.0,4296770000000000.0,5754492000000000.0,4186390000000000.0,3612222000000000.0,9493260000000000.0,6762100000000000.0,3189240000000000.0,4925020000000000.0,1.29e+16,3948700000000000.0,1.4e+16,6514830000000000.0,6541920000000000.0,3900030000000000.0,4651400000000000.0,1.8e+16,4657328000000000.0,4552200000000000.0,5170888000000000.0,4094030000000000.0,3548092000000000.0,3865910000000000.0,4273800000000000.0,3036860000000000.0,4949300000000000.0,4463830000000000.0,3838296000000000.0
2018-01-04,3911200000000000.0,4883528000000000.0,2691520000000000.0,6209180000000000.0,6156990000000000.0,3466398000000000.0,5661570000000000.0,3095884000000000.0,5468174000000000.0,4111654000000000.0,6689572000000000.0,4825608000000000.0,3737102000000000.0,3091400000000000.0,5356750000000000.0,8203408000000000.0,5264140000000000.0,3967220000000000.0,1.1614034e+16,3827761200000000.0,3802375400000000.0,4378350000000000.0,3530006000000000.0,3415990000000000.0,3858280000000000.0,4484978000000000.0,5930614000000000.0,4078742000000000.0,5429610000000000.0,2911824000000000.0,2678664000000000.0,8352500000000000.0,5105486000000000.0,3312650000000000.0,4802468000000000.0,5584300000000000.0,3006624000000000.0,8796244000000000.0,4733560000000000.0,4945572000000000.0,3493076000000000.0,3678728000000000.0,8421978000000000.0,4930880000000000.0,3148472000000000.0,5388180000000000.0,4370976000000000.0,5498990000000000.0,3564146000000000.0,4817510000000000.0,2721560000000000.0,5891190000000000.0,3373510000000000.0,4282140000000000.0
2018-01-05,5119804000000000.0,6653060000000000.0,3409596000000000.0,7551870000000000.0,8002238000000000.0,3344350000000000.0,5058200000000000.0,3450540000000000.0,4797080000000000.0,4793900000000000.0,4601260000000000.0,7697430000000000.0,4995740000000000.0,3927090000000000.0,1.19e+16,1.12e+16,6145910000000000.0,3335792000000000.0,1.89e+16,5070916000000000.0,6749230000000000.0,7137840000000000.0,2808730000000000.0,4482380000000000.0,4494960000000000.0,6585480000000000.0,7186460000000000.0,3899440000000000.0,8579690000000000.0,3357600000000000.0,3363700000000000.0,5969662000000000.0,9454920000000000.0,2984490000000000.0,5471710000000000.0,9500686000000000.0,3078200000000000.0,9751100000000000.0,7007650000000000.0,4420380000000000.0,3393570000000000.0,4343370000000000.0,2.01e+16,5242044000000000.0,2091850000000000.0,5931706000000000.0,4516320000000000.0,3326090000000000.0,3949820000000000.0,2584910000000000.0,3495380000000000.0,6246944000000000.0,7437420000000000.0,1.31e+16
2018-01-06,5916920000000000.0,5483908000000000.0,2523630000000000.0,6000744000000000.0,1.14e+16,4119820000000000.0,4619178000000000.0,3105834000000000.0,4123466000000000.0,3974822000000000.0,7314538000000000.0,5181010000000000.0,4541648000000000.0,4473302000000000.0,4349668000000000.0,7415688000000000.0,5438634000000000.0,4356380000000000.0,7826432000000000.0,5403508000000000.0,4401304000000000.0,5158110000000000.0,2091840000000000.0,4361768000000000.0,4182542000000000.0,5030560000000000.0,5686850000000000.0,4318948000000000.0,4543242000000000.0,2630166000000000.0,3266550000000000.0,1.3e+16,4939260000000000.0,2689274000000000.0,5032072000000000.0,5782156000000000.0,2818158000000000.0,6532928000000000.0,6104052000000000.0,4509196000000000.0,3650540000000000.0,3949046000000000.0,7740512000000000.0,5154980000000000.0,4205414000000000.0,5827170000000000.0,4185512000000000.0,3060640000000000.0,3364732000000000.0,4436278000000000.0,2453506000000000.0,5316100000000000.0,4533036000000000.0,3079040000000000.0
2018-01-07,5789892000000000.0,5377860000000000.0,3396362000000000.0,8947500000000000.0,7815614000000000.0,3495250000000000.0,6338700000000000.0,3893650000000000.0,3491750000000000.0,3524520000000000.0,1.02e+16,5482350000000000.0,3824950000000000.0,6439660000000000.0,1.12e+16,9386020000000000.0,6943100000000000.0,2668000000000000.0,9168280000000000.0,5513422000000000.0,4147280000000000.0,5071570000000000.0,3462538000000000.0,3405260000000000.0,3415780000000000.0,7327490000000000.0,8300170000000000.0,5698050000000000.0,6957470000000000.0,3738190000000000.0,2457416000000000.0,5737516000000000.0,7416020000000000.0,2842690000000000.0,9437480000000000.0,9302360000000000.0,2940510000000000.0,9153460000000000.0,8775610000000000.0,4394110000000000.0,3142930000000000.0,3811490000000000.0,8525830000000000.0,4717106000000000.0,5286270000000000.0,6219950000000000.0,4903460000000000.0,3505424000000000.0,4340090000000000.0,3092750000000000.0,2819750000000000.0,7809080000000000.0,5553450000000000.0,7659290000000000.0
2018-01-08,8036170000000000.0,5652056000000000.0,1273380000000000.0,6227282000000000.0,7332320000000000.0,3937426000000000.0,5903142000000000.0,4294940000000000.0,3625006000000000.0,4490118000000000.0,7659104000000000.0,3983686000000000.0,2737150000000000.0,5099266000000000.0,4654306000000000.0,8088648000000000.0,5591170000000000.0,2041580000000000.0,7914396000000000.0,4539282000000000.0,5010640000000000.0,4608760000000000.0,1893270000000000.0,4692266000000000.0,3950938000000000.0,5249230000000000.0,6139400000000000.0,5382080000000000.0,4988566000000000.0,5303020000000000.0,1535890000000000.0,4916510000000000.0,5078848000000000.0,3318420000000000.0,5172074000000000.0,5689162000000000.0,7448990000000000.0,6320628000000000.0,6117850000000000.0,9450010000000000.0,2602710000000000.0,4637660000000000.0,6951286000000000.0,4024470000000000.0,3833538000000000.0,5181572000000000.0,5784920000000000.0,2880120000000000.0,3617206000000000.0,4545492000000000.0,2986640000000000.0,5748046000000000.0,4083390000000000.0,4090550000000000.0
2018-01-09,4972754661870504.0,5268169264516129.0,3634037759634318.0,6891415165882354.0,8660922459416059.0,4243542232424677.0,5507042425531915.0,3389708158149171.0,4304943823442136.5,4449721727395411.5,7059358622994652.0,4709838643564356.0,3758466906552706.5,5240335896892655.0,6929773973706920.0,8612770442708333.0,5288909784901278.0,3390230568903226.0,9454459234828496.0,5363606424528302.0,4514299432642487.0,5285225800293686.0,4056116207395498.5,4621409561064087.0,4518725882517483.0,5066096332480818.0,6669103082579185.0,4380781712247324.5,5147979279314888.0,3187030626143791.0,3627819835271318.0,6715972920704846.0,5230934049208443.0,3082900188902007.0,5443025439783491.0,7129528800396826.0,3196098811614731.0,6677860955451349.0,5879458349514563.0,5147598596938776.0,3557099207464788.5,4117084991814461.0,8716024622395833.0,5722422072072072.0,3617778936769871.0,5525170257659831.0,4392237013679890.5,3755371597164461.0,4223056343957503.5,3856014098124098.0,2769103972162741.0,5587799946808511.0,4830552994482759.0,4601586569067296.0
2018-01-10,7069660000000000.0,5180648000000000.0,2633630000000000.0,1.74e+16,1.1549632e+16,4096650000000000.0,5170684000000000.0,1728880000000000.0,4548170000000000.0,3358440000000000.0,8279230000000000.0,4275274000000000.0,3267596000000000.0,5359226000000000.0,7734716000000000.0,8723780000000000.0,4799580000000000.0,721984000000000.0,1.100496e+16,4658232000000000.0,3808170000000000.0,5578740000000000.0,2170820000000000.0,4078400000000000.0,4215322000000000.0,5743940000000000.0,2.01e+16,5458600000000000.0,5157690000000000.0,2944320000000000.0,2725910000000000.0,9972970000000000.0,6257230000000000.0,4291120000000000.0,4959610000000000.0,1.0269182e+16,3126130000000000.0,4974408000000000.0,5186582000000000.0,6663220000000000.0,2991110000000000.0,4041140000000000.0,9782552000000000.0,6078236000000000.0,2123750000000000.0,5959614000000000.0,4393410000000000.0,2479520000000000.0,5217880000000000.0,2430874000000000.0,2790720000000000.0,4929142000000000.0,3162631000000000.0,4289856000000000.0
